SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,SHFW,ZGFW,GGSS,SHZA
0.0245796320,0.0591987230,0.0000000000,0.3520233700,0.2396514160,0.3485838780,0.0000000000,0.0000000000,0.0000000000,0.0028089890,0.0000000000,0.0004217300,0.0000000000,0.0000000000,0.0000000000,0.0021038030,0.0349775480,0.0000000000,0.0023344030,0.0000000000
0.0000000000,0.0301870690,0.0086478280,0.2735340600,0.1553672320,0.0000000000,0.1382460810,0.0294570830,0.0000000000,0.0000000000,0.0020833330,0.0002108650,0.0031250000,0.0000000000,0.0000000000,0.0022380880,0.0093183430,0.0000000000,0.0245112340,0.0004154920
0.0202468210,0.0228761610,0.0019494410,0.0486430280,0.0191038560,0.0069468570,0.1761333310,0.0066403780,0.0024586480,0.0014044940,0.0000000000,0.0001581490,0.0437500000,0.0000000000,0.0019249280,0.2552762920,0.2060164080,0.0000000000,0.0408520570,0.1961418610
0.0017950760,0.0017007130,0.0013394850,0.4079379220,0.1443914080,0.0954653940,0.2485471760,0.1323178440,0.0067574690,0.0014044940,0.0000000000,0.0013179050,0.0187500000,0.0006118080,0.0023099130,0.0619726510,0.0186366860,0.0000000000,0.0157572220,0.0018400360
0.0204107670,0.7067593690,0.0913830150,0.3194326880,0.1305970150,0.1718679330,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056406340,0.0093750000,0.0024472320,0.0007699710,0.0066695020,0.1355548800,0.0000000000,0.0000000000,0.0005935600
0.0109058010,0.8046081420,0.0705284900,0.1869282410,0.1506363780,0.0515546960,0.0371698020,0.1570807150,0.0000000000,0.0154494380,0.0125000000,0.0006853110,0.0218750000,0.0048944630,0.0011549570,0.0014771380,0.0070900440,0.0342857140,0.0099212140,0.0014839000
0.0000000000,0.0255995370,0.0794963200,0.3835453260,0.2596789420,0.2266288950,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020833330,0.0002108650,0.0828125000,0.0000000000,0.0000000000,0.0013876140,0.0089807220,0.0000000000,0.0000000000,0.0002374240
0.7179487180,0.7850261450,0.0113382630,0.3308046870,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014044940,0.0031250000,0.0001581490,0.0343750000,0.0000000000,0.0003849860,0.0000448000,0.0031061140,0.0000000000,0.0344324480,0.0001780680
0.0340451870,0.7075623920,0.0039083850,0.2654731930,0.0191504180,0.0742804090,0.0163638870,0.0798787480,0.0788685040,0.0196629210,0.0052083330,0.0133108410,0.0687500000,0.0409911290,0.0073147260,0.0030437990,0.0208649850,0.0000000000,0.0151736210,0.0016026120
0.0179568800,0.8705030820,0.0535976550,0.3405665690,0.1313096860,0.1637107780,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0782835600,0.0000000000,0.0000000000,0.0000000000,0.0204113610,0.0145852320,0.0000000000,0.0000000000,0.0000000000
