code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
1,0.006535948,0.039215686,0,0.241830065,0.026143791,0.013071895,0.0000000000,0,0.00000000,4,0,16,0,0,0,94,0,1036,8,0,1
2,0,0.020030817,0.001540832,0.18798151,0.016949153,0,0.1290000000,0.001540832,0.00000000,0,4,8,2,0,0,100,0,276,84,14,1
3,0.005383814,0.015196249,0.000347343,0.033692254,0.002084057,0.000260507,0.1650000000,0.000347343,0.00008680,2,0,6,28,0,10,11406,0,6102,140,6609,3
4,0.000477327,0.001193317,0.000238663,0.280190931,0.01575179,0.003579952,0.2330000000,0.006921241,0.00023866,2,0,50,12,2,12,2769,0,552,54,62,2
5,0.005427408,0.46743555,0.016282225,0.219470828,0.014246947,0.006445047,0.0000000000,0,0.00000000,0,0,214,6,8,4,298,0,4015,0,20,1
6,0.002899952,0.532141131,0.012566457,0.128564524,0.016433059,0.001933301,0.0348000000,0.00821653,0.00000000,22,24,26,14,16,6,66,12,210,34,50,1
7,0,0.016997167,0.014164306,0.263456091,0.028328612,0.008498584,0.0000000000,0,0.00000000,0,4,8,53,0,0,62,0,266,0,8,1
8,0.190909091,0.519191919,0.002020202,0.227272727,0,0,0.0000000000,0,0.00000000,2,6,6,22,0,2,2,0,92,118,6,1
9,0.009052925,0.467966574,0.000696379,0.182451253,0.002089136,0.002785515,0.0153000000,0.004178273,0.00278552,28,10,505,44,134,38,136,0,618,52,54,1
10,0.004774898,0.575716235,0.009549795,0.233969986,0.014324693,0.006139154,0.0000000000,0,0.00000000,0,0,2970,0,0,0,912,0,432,0,0,1
11,0.000439432,0.000878863,0.00527318,0.246374689,0.008788633,0.00263659,0.0696000000,0.003076022,0.00029295,8,6,94,6,10,8,2766,2,688,66,522,1
12,0.009237875,0.464203233,0.025404157,0.256351039,0.041570439,0.013856813,0.0046200000,0.002309469,0.00692841,0,12,0,2,2,0,4,0,314,196,0,2
13,0,0.472527473,0,0.21978022,0.043956044,0,0.0000000000,0,0.00000000,0,0,0,0,0,0,0,0,2316,4,0,1
14,0.000429185,0.000600858,0.000686695,0.298369099,0.003776824,0.000772532,0.0348000000,0.000600858,0.00017167,2,26,224,14,4,12,4419,0,3797,304,342,1
15,0,0.0007109,0,0.203791469,0.000236967,0,0.0860000000,0,0.00000000,4,4,2,2,0,8,158,0,3665,79,377,1
16,0.000128601,0.000128601,0.000128601,0.114969136,0.000257202,0,0.0296000000,0,0.00000000,28,78,28,2,24,800,1772,0,2400,110,1000,1
17,0.022446689,0.42312009,0,0.207070707,0.012906846,0.00617284,0.0000000000,0.002244669,0.00000000,12,0,0,0,4,0,652,0,464,2,32,1
18,0.004863813,0.496108949,0.013618677,0.155642023,0.008754864,0.004863813,0.0000000000,0,0.00194553,2,0,40,4,2,0,6,2,642,35,12,1
19,0.006322053,0.281517293,0.000743771,0.156191893,0.005206396,0.000743771,0.4120000000,0,0.00000000,17,32,4,60,26,22,83,2,544,72,216,1
