code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
1,0.006535948,0.039215686,0.000000000,0.241830065,0.026143791,0.013071895,0.000000000,0.000000000,0.000000000,4,0,16,0,0,0,94,0,1036,8,0,1
2,0.000000000,0.020030817,0.001540832,0.187981510,0.016949153,0.000000000,0.129000000,0.001540832,0.000000000,0,4,8,2,0,0,100,0,276,84,14,1
3,0.005383814,0.015196249,0.000347343,0.033692254,0.002084057,0.000260507,0.165000000,0.000347343,0.000086800,2,0,6,28,0,10,11406,0,6102,140,6609,3
4,0.000477327,0.001193317,0.000238663,0.280190931,0.015751790,0.003579952,0.233000000,0.006921241,0.000238663,2,0,50,12,2,12,2769,0,552,54,62,2
5,0.005427408,0.467435550,0.016282225,0.219470828,0.014246947,0.006445047,0.000000000,0.000000000,0.000000000,0,0,214,6,8,4,298,0,4015,0,20,1
6,0.002899952,0.532141131,0.012566457,0.128564524,0.016433059,0.001933301,0.034800000,0.008216530,0.000000000,22,24,26,14,16,6,66,12,210,34,50,1
7,0.000000000,0.016997167,0.014164306,0.263456091,0.028328612,0.008498584,0.000000000,0.000000000,0.000000000,0,4,8,53,0,0,62,0,266,0,8,1
8,0.190909091,0.519191919,0.002020202,0.227272727,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2,6,6,22,0,2,2,0,92,118,6,1
9,0.009052925,0.467966574,0.000696379,0.182451253,0.002089136,0.002785515,0.015300000,0.004178273,0.002785515,28,10,505,44,134,38,136,0,618,52,54,1
10,0.004774898,0.575716235,0.009549795,0.233969986,0.014324693,0.006139154,0.000000000,0.000000000,0.000000000,0,0,2970,0,0,0,912,0,432,0,0,1
11,0.000439432,0.000878863,0.005273180,0.246374689,0.008788633,0.002636590,0.069600000,0.003076022,0.000292954,8,6,94,6,10,8,2766,2,688,66,522,1
12,0.009237875,0.464203233,0.025404157,0.256351039,0.041570439,0.013856813,0.004620000,0.002309469,0.006928406,0,12,0,2,2,0,4,0,314,196,0,2
13,0.000000000,0.472527473,0.000000000,0.219780220,0.043956044,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,2316,4,0,1
14,0.000429185,0.000600858,0.000686695,0.298369099,0.003776824,0.000772532,0.034800000,0.000600858,0.000171674,2,26,224,14,4,12,4419,0,3797,304,342,1
15,0.000000000,0.000710900,0.000000000,0.203791469,0.000236967,0.000000000,0.086000000,0.000000000,0.000000000,4,4,2,2,0,8,158,0,3665,79,377,1
16,0.000128601,0.000128601,0.000128601,0.114969136,0.000257202,0.000000000,0.029600000,0.000000000,0.000000000,28,78,28,2,24,800,1772,0,2400,110,1000,1
17,0.022446689,0.423120090,0.000000000,0.207070707,0.012906846,0.006172840,0.000000000,0.002244669,0.000000000,12,0,0,0,4,0,652,0,464,2,32,1
18,0.004863813,0.496108949,0.013618677,0.155642023,0.008754864,0.004863813,0.000000000,0.000000000,0.001945525,2,0,40,4,2,0,6,2,642,35,12,1
19,0.006322053,0.281517293,0.000743771,0.156191893,0.005206396,0.000743771,0.412000000,0.000000000,0.000000000,17,32,4,60,26,22,83,2,544,72,216,1
20,0.003642987,0.488160291,0.000000000,0.229508197,0.016393443,0.001821494,0.000000000,0.000000000,0.000000000,0,2,0,0,16,2,0,0,1039,12,4,1
21,0.014167651,0.374262102,0.010625738,0.223140496,0.020070838,0.002361275,0.000000000,0.001180638,0.002361275,6,0,4,2,4,0,138,0,1173,15,44,1
22,0.002257336,0.002257336,0.000000000,0.268623025,0.022573363,0.004514673,0.040600000,0.000000000,0.000000000,3,3,17,1,3,5,110,15,158,3,18,1
23,0.002212389,0.565634218,0.012536873,0.191740413,0.017699115,0.003687316,0.000000000,0.002212389,0.000737463,0,0,2,0,0,0,24,0,306,0,0,1
24,0.002574665,0.001716444,0.011671816,0.294713354,0.016821147,0.005149331,0.066400000,0.006179197,0.001716444,4,10,63,8,10,38,1037,20,3146,57,106,2
25,0.005996132,0.000386847,0.049903288,0.330947776,0.040812379,0.007736944,0.294000000,0.017988395,0.000386847,0,8,2,44,0,90,5090,2,378,48,78,3
26,0.000000000,0.110283159,0.004470939,0.219076006,0.026825633,0.008941878,0.000000000,0.000000000,0.001490313,12,8,92,8,12,0,672,0,2502,8,8,1
27,0.037878788,0.587121212,0.049242424,0.143939394,0.022727273,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2,0,4,2,2,0,226,0,2,1
